gene_id,pyrE-1,pyrE-2,pyrE-3,pyrE-4,rosR-1,rosR-2,rosR-3,rosR-4
HVO_RS08910,1100.14810288221,1146.40841785722,1165.79925016258,1123.57806728491,1225.01836847073,1102.96654392941,1161.1454134647,1119.68188952647
HVO_RS08915,1122.08837843826,1183.60263473074,1187.20791752784,1234.85266991698,1258.65997139274,1195.72226494263,1215.10569946047,1178.61251529102
HVO_RS08920,132136.876698884,138879.073114967,125314.661301282,122374.490427371,134283.358201418,149005.178006664,127734.988862116,133183.214227885
HVO_RS08925,1766.7145697757,1666.30091593378,1838.22602968039,1957.64522152708,1776.04462322792,1615.41894319054,1695.75195064508,1831.38252375989
HVO_RS08930,2740.44489445397,2803.6174141108,2725.71260409465,2617.41498934556,2700.60867594683,2600.83368227153,2722.99591367581,2613.3465964049
HVO_RS08935,595.521765092933,752.97625715063,732.760296638082,829.143499258452,766.796535567377,721.841551647394,734.459448275861,794.430166556736
HVO_RS08940,3268.05628282578,3335.90798447853,3405.92435356346,3458.37526056494,3426.80327695315,3384.20625676927,3117.70541308937,3379.44473134406
HVO_RS08945,52.2387513239415,59.5107469976349,51.5754259253896,44.3128948534802,46.4022109269214,57.8575289488369,51.9617568848228,54.3975007057394
HVO_RS08950,42740.7015582225,38734.8839902384,38835.3226005745,37195.2592090145,35312.0825153872,36735.8573886099,35567.8225876612,35004.7917041433
HVO_RS08955,58730.983338481,55518.5677198769,54243.7243760956,51992.8118970867,51579.5376110927,52863.4139897294,49770.369714661,49663.7848630754
HVO_RS08960,3005.8177511796,3000.33349446409,3373.81135251558,3452.46687458448,3793.38074327583,2956.24421724295,3231.62157241379,3424.77598193218
HVO_RS08965,3292.08610843479,3310.28530174344,3598.60235985077,4129.96180034436,3775.97991417823,2976.44843370128,3577.36710860896,3152.78847840348
HVO_RS08970,2623.43009148834,2892.05699645451,2681.92214812026,3123.56672167198,2741.21061050788,2413.48549329434,2618.07313535069,2222.3645600824
HVO_RS08975,7398.0519624966,7802.52016191213,7590.34570222715,8498.22850190076,7402.31269811714,6688.51402118062,6997.84968200797,6493.70164674764
HVO_RS08980,5430.74058763696,5715.51132623118,5558.46854501557,6081.69863589097,5495.18182902067,5624.1191632171,5322.08302247243,5126.96444151594
HVO_RS08985,8999.69207808864,8062.87968002678,7696.41591780955,7881.78689793901,7659.84496876156,8179.95254519508,7665.35840506685,7420.72572127462
HVO_RS08990,22.9850505825343,42.9799839427363,40.8710922427616,50.2212808339442,32.481547648845,45.0003002935398,32.975730330753,54.3975007057394
HVO_RS08995,722.984318323351,724.873959957303,695.781689370822,600.685908013843,776.076977752761,731.025286401177,738.456506497771,690.168290204069
HVO_RS09000,348.954858843929,355.411405680319,316.264404259464,314.129187961337,288.853763020086,337.043065463859,320.763922308233,298.052972616864
HVO_RS09005,223.58185566647,206.634538186232,228.68349231069,230.427053238097,215.770280810185,235.103609696861,231.829376870748,223.256409146472
HVO_RS09010,196.41770497802,170.266859465455,158.61876275167,158.541690475785,180.968622614994,171.735839895754,175.870561764016,177.925158558356
HVO_RS09015,195.372929951541,169.44032131271,156.672520263919,144.755456521369,145.00690914663,159.796984715835,175.870561764016,148.459845676081
HVO_RS09020,216.268430481118,162.828016090751,175.16182389755,193.992006358569,146.166964419803,185.511442026429,207.847027539291,179.058439823059
HVO_RS09025,187.014729739711,173.573012076435,159.591883995545,161.495883466017,177.488456795475,174.490960321889,187.861736429744,164.325783381921
HVO_RS09030,168.208779263092,171.919935770945,169.323096434298,177.251579413921,170.528125156436,163.470478617349,142.894831433263,140.52687682316
HVO_RS09035,436.715961068151,492.616739035978,446.662650938751,536.678393225482,451.261501264311,525.309627916424,463.658753741496,494.110631410466
HVO_RS09040,2353.8781346568,2077.91691600075,2164.22164637861,2449.02598890234,1852.60827125734,2138.89182415621,2233.3562814919,2231.43081020002
HVO_RS09045,61910.2337440561,62442.4778254211,63711.2209577581,68457.5141626465,59155.8586001858,64662.6764013906,58472.9647283133,63913.6634854497
HVO_RS09050,10529.2427168537,10171.3785076791,10268.3753653719,10056.0729387498,8650.53217205133,10052.5160614916,9509.00150992258,9996.67403594432
HVO_RS09055,1839.84882162922,1686.9643697524,1709.77402548886,1948.78264255638,1508.07185512495,1766.95056662797,1644.78945831574,1747.51971017188
HVO_RS09060,449.253261385897,419.054843441679,422.334619841869,415.55648062597,337.576084493354,395.818967888075,460.660960075064,524.709225557445
HVO_RS09065,11253.2718102035,11093.7950861424,9850.90635174941,10734.5525955064,10153.9638060836,11576.0976571443,10091.5727457659,9702.02090712157
HVO_RS09070,1277.75985738361,1124.91842588585,1142.44434030957,1215.1580499821,1247.05941866101,1214.0897344502,1255.07628167957,1065.28438882073
HVO_RS09075,2943.13124959087,2791.21934181963,2806.48166733629,3054.6355518999,2839.81530872759,2766.14090783963,2811.9304591133,2701.74253505172
HVO_RS09080,11341.0329124277,11656.6675681617,11300.8570051236,10521.8507002097,11144.6510093734,11881.9160244453,11354.6431438893,11071.0246748827
HVO_RS09085,7036.55980333492,6828.03167982586,6640.57936820488,6992.57480787918,6463.82798212016,6826.27004248738,6732.04531025099,6760.02274395283
HVO_RS09090,2527.31078905229,2680.4632293518,2800.64293987304,2900.03278541109,2549.80149043433,2471.34302224318,2428.21286980999,2555.54925190505
HVO_RS09095,445.074161279982,518.23942177107,491.426228157014,381.09089573993,575.387415493826,571.228301685342,573.577854844006,592.706101439619
HVO_RS09100,1331.04338373403,1492.72790385734,1471.35932073942,1503.68423202809,1637.99804572033,1623.68430446895,1609.81519887403,1559.3950202312
HVO_RS09105,889.103547533485,878.61005636786,858.292937097993,942.387563884012,817.838967586991,883.475283313986,823.393993713346,769.497978733272
HVO_RS09110,228.805730798864,236.38991168505,236.468462261692,219.595012273913,209.97000444432,247.960838352158,225.833789537884,211.923596499443
HVO_RS09115,19.8507255030978,24.7961445823479,20.4355461213808,21.6640819283681,20.8809949171147,27.5512042613509,30.9772012197982,18.1325002352465
HVO_RS09120,32.3880258208437,43.8065220954812,37.9517285111357,34.4655848860402,51.0424320196136,61.5310228503504,42.9683758855266,55.5307819704423
HVO_RS09125,26.1193756619708,27.2757590405827,32.1130010478841,30.5266608990641,31.321492375672,24.7960838352158,31.9764657752756,31.7318754116813
HVO_RS09130,41.7910010591532,62.8168996086146,50.6023046815143,45.2976258502242,40.6019345610563,68.8780106533773,60.9551378841191,55.5307819704423
HVO_RS09140,442.984611227024,460.381751078925,424.28086232962,771.044370450556,482.582993639983,460.10511116456,497.633748627726,526.975788086851
HVO_RS09145,2927.45962419368,2790.39280366688,2967.04667257571,3147.20026559384,2634.48552537596,2722.05898102147,2628.06578090546,2663.21097205183
HVO_RS09150,3579.39924071647,4155.00729384876,3632.6616033864,3666.15350087793,5279.41154821049,5110.74839048059,4681.55444241144,5179.09537969227
HVO_RS09155,379.253334611815,384.340241026392,398.006588744988,408.663363648762,439.660948532581,402.247582215723,407.699938634764,432.91344311651
HVO_RS09160,241.34303111661,236.38991168505,234.522219773941,271.785755101345,244.771662639511,233.266862746104,222.835995871452,247.055315705233
