gene_id,pyrE-1,pyrE-2,rosR-1,rosR-2,rosR-3,rosR-4
HFX_RS00580,1898,1786,980,1240,1105,1054
HFX_RS00585,4831,5852,2859,3688,3379,3066
HFX_RS00590,269,425,217,220,241,194
HFX_RS00595,1946,454,973,1017,1001,882
HFX_RS00600,2085,1082,1163,1334,1193,1175
HFX_RS00605,3203,4509,1948,2935,2520,2191
HFX_RS00610,9194,14649,7713,9772,9376,7718
HFX_RS00615,32517,57968,28468,34981,34404,30104
HFX_RS00620,2647,3397,1713,2107,1972,1891
HFX_RS00625,21700,26197,18094,24031,22606,18221
HFX_RS00630,37247,44165,28313,31783,30655,27348
HFX_RS00635,696,266,381,360,334,398
HFX_RS00640,20563,17185,14693,17568,15937,13860
HFX_RS00645,2785,1907,2024,2009,1996,1905
HFX_RS00650,258,367,212,228,166,193
HFX_RS00655,1502,1610,928,1057,886,948
HFX_RS00660,1857,1708,1213,1505,1216,1163
HFX_RS00665,2855,2402,1617,2020,1921,1676
HFX_RS00670,521,115,249,291,284,288
HFX_RS00675,1564,316,286,435,537,454
HFX_RS19565,387,109,249,359,328,278
HFX_RS00680,1152,502,1617,2689,2199,1860
HFX_RS00685,641,217,621,838,785,690
HFX_RS00690,337713,208283,241443,303529,246177,253479
HFX_RS00695,3079,1009,1482,1870,1642,1670
HFX_RS00700,18055,9011,10270,13984,12309,11676
HFX_RS00705,3897,2847,3059,3649,3472,2943
HFX_RS00710,2268,3198,1777,2482,2196,1893
HFX_RS00715,207,446,245,397,307,247
HFX_RS00720,6244,9305,7210,8021,5900,5953
HFX_RS00725,1710,1665,1278,1552,1244,1442
HFX_RS00730,8331,2564,3608,3859,3262,3371
HFX_RS00735,15968,23161,20388,27322,22179,20716
HFX_RS00740,4287,5199,4658,5284,4827,4645
HFX_RS00745,1354,515,790,750,738,774
HFX_RS00750,1532,1893,1147,1448,1228,1143
HFX_RS00755,2013,4087,1900,1995,1776,1811
HFX_RS00760,1103,2148,943,988,936,861
HFX_RS20250,463,709,608,881,742,689
HFX_RS00770,425,236,287,479,382,322
HFX_RS00775,3161,5056,3099,4258,3534,2923
HFX_RS00780,379,585,254,414,319,348
HFX_RS00785,4592,2518,3081,3832,3139,3034
HFX_RS00790,1396,719,1019,1232,940,954
HFX_RS00795,1755,749,1744,1567,1117,1225
HFX_RS00800,5488,3439,3323,3789,3563,3338
HFX_RS00805,989,2165,1047,1332,1218,1054
