gene_id,symbol,biotype,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HVO_RS03235,HVO_RS03235,pseudogene,-0.0463525558401951,0.147353873965961,0.191450925877369,,10.4419023515695,6.60802210730132
HVO_RS06110,HVO_RS06110,protein_coding,0.061697316216531,0.0554490901002926,0.19182947996531,0.395915036231884,24466.4702839865,25926.6310345734
HVO_RS14465,HVO_RS14465,protein_coding,0.0615217895215101,0.0553650420483696,0.192646043021685,0.397373650885094,24271.5268703445,25714.5504215484
HVO_RS12315,HVO_RS12315,protein_coding,0.060200938481792,0.0537102507358558,0.193158842892229,0.398204383808596,1408.6909654327,1490.41384402827
HVO_RS01305,HVO_RS01305,protein_coding,0.0711952114730509,0.0739289810266995,0.193275443921549,0.398217856553624,535.8681784291,585.381824997201
HVO_RS00120,HVO_RS00120,protein_coding,0.0711815839187889,0.0740967885578894,0.193662268049922,0.398787755153454,615.503053185704,672.689899223717
HVO_RS17895,HVO_RS17895,protein_coding,0.07272183748005,0.0852493815403654,0.193810150026374,0.398865257562811,162.215832549582,181.093695887689
HVO_RS07980,HVO_RS07980,protein_coding,-0.0628526593196088,0.0574737054702553,0.193922354248932,0.398869288045843,4514.70289069476,4248.63326230892
HVO_RS12700,HVO_RS12700,protein_coding,0.0675764144643634,0.0657974962037949,0.195637747286698,0.402168960047315,1082.05739779069,1165.40047656672
HVO_RS01755,HVO_RS01755,protein_coding,0.069108212788295,0.0694495143342489,0.196462240972032,0.403249227471394,1307.00985267894,1414.87939337818
HVO_RS02050,HVO_RS02050,protein_coding,0.0696314401680387,0.070812471051973,0.19652431033649,0.403249227471394,636.409715422471,689.938201670731
HVO_RS10230,HVO_RS10230,protein_coding,0.0677203123931996,0.066383126207713,0.196584154605081,0.403249227471394,13703.2562654891,14748.7354261716
HVO_RS06785,HVO_RS06785,protein_coding,0.0610129257559396,0.0554146825715458,0.19660907608058,0.403249227471394,1291.53281020095,1369.52056199422
HVO_RS01025,HVO_RS01025,protein_coding,-0.0688780878515132,0.101006569468311,0.196859799396027,,75.3349344163757,64.3203295919749
HVO_RS18605,HVO_RS18605,protein_coding,-0.0617633395324575,0.0565598415769758,0.197140912979649,0.40393826649206,1457.81607186741,1375.08293045455
HVO_RS11095,HVO_RS11095,protein_coding,0.0714975653993365,0.0777924217965261,0.197168319133493,0.40393826649206,295.668204392417,324.575590862254
HVO_RS13725,HVO_RS13725,protein_coding,-0.0526979266174272,0.0454849123588729,0.197407637382581,0.404199678579614,9335.25898112815,8927.02945473369
HVO_RS11905,HVO_RS11905,protein_coding,0.0572231204786116,0.0507787749692838,0.198037090195233,0.405079507455371,1692.59747676717,1780.46273234223
HVO_RS03955,HVO_RS03955,protein_coding,0.0675112643048679,0.0664311076814705,0.198111850232439,0.405079507455371,683.005943591375,735.90492889187
HVO_RS08175,HVO_RS08175,protein_coding,0.069242028818455,0.0704654189694953,0.198173225040355,0.405079507455371,362.064813149358,392.764181811511
HVO_RS12600,HVO_RS12600,protein_coding,-0.064236711216642,0.110836165356826,0.198280592730509,,53.1965058131769,43.5697800831125
HVO_RS04630,HVO_RS04630,protein_coding,0.0599406512531665,0.054322537640044,0.198553806163465,0.405412658127992,1482.87535248332,1567.78923239422
HVO_RS06470,HVO_RS06470,protein_coding,0.0554902070604573,0.127665219046459,0.198558574851332,,20.2422589059103,26.9712698332303
HVO_RS12375,HVO_RS12375,protein_coding,-0.0560768215415728,0.0494809648590184,0.198560317911222,0.405412658127992,6889.6452605736,6558.70848234247
HVO_RS03720,HVO_RS03720,protein_coding,-0.0685026531231712,0.100848658048817,0.199309210882229,,81.0256494460344,69.4109897258528
HVO_RS12980,HVO_RS12980,protein_coding,0.0620097048504875,0.114835175174593,0.199428793173041,,42.368201003333,52.946969301009
HVO_RS18070,HVO_RS18070,protein_coding,-0.0615606517241019,0.056728945046621,0.19947512658,0.406721192180597,2030.50684415965,1913.08547262071
HVO_RS13975,HVO_RS13975,protein_coding,-0.0717428653970599,0.0858952960938445,0.199503599867957,0.406721192180597,273.755560246168,245.03884089613
HVO_RS15625,HVO_RS15625,protein_coding,0.0709270434247051,0.076866630034826,0.199538451111266,0.406721192180597,685.171015694168,749.873154564702
HVO_RS13175,HVO_RS13175,protein_coding,-0.0613184386414539,0.0565034756010792,0.200089061788209,0.407440193002271,986.782896676223,930.558086600131
HVO_RS03465,HVO_RS03465,protein_coding,0.0715264225132151,0.0815392471691727,0.200125110678077,0.407440193002271,298.097212725704,329.693804401525
